-13,913662 C1; 69,56832 C2; 25861,91 X6;
-13,957968 C1; 69,78984 C2; 25861,92 X6;
-14,002275 C1; 70,01137 C2; 25861,93 X6;
-14,046581 C1; 70,23291 C2; 25861,94 X6;
-14,090885 C1; 70,45442 C2; 25861,96 X6;
-14,13519 C1; 70,67595 C2; 25861,97 X6;
-14,179497 C1; 70,89749 C2; 25861,98 X6;
-14,223801 C1; 71,11901 C2; 25861,99 X6;
-14,268107 C1; 71,34054 C2; 25862,01 X6;
-14,312414 C1; 71,56208 C2; 25862,02 X6;
-14,356719 C1; 71,7836 C2; 25862,03 X6;
-14,401025 C1; 72,00512 C2; 25862,04 X6;
-14,445328 C1; 72,22664 C2; 25862,06 X6;
-14,489634 C1; 72,44818 C2; 25862,07 X6;
-14,533939 C1; 72,6697 C2; 25862,08 X6;
-14,578246 C1; 72,89123 C2; 25862,09 X6;
-14,622549 C1; 73,11275 C2; 25862,11 X6;
-14,666853 C1; 73,33427 C2; 25862,12 X6;
-14,71116 C1; 73,5558 C2; 25862,13 X6;
-14,755465 C1; 73,77732 C2; 25862,15 X6;
-14,79977 C1; 73,99885 C2; 25862,16 X6;
-14,844074 C1; 74,22037 C2; 25862,17 X6;
-14,888378 C1; 74,4419 C2; 25862,18 X6;
-14,932684 C1; 74,66342 C2; 25862,2 X6;
-14,976989 C1; 74,88495 C2; 25862,21 X6;
-15,021295 C1; 75,10647 C2; 25862,22 X6;
-15,065598 C1; 75,328 C2; 25862,24 X6;
-15,109901 C1; 75,54951 C2; 25862,25 X6;
-15,154208 C1; 75,77104 C2; 25862,26 X6;
-15,198511 C1; 75,99256 C2; 25862,28 X6;
-15,242817 C1; 76,21409 C2; 25862,29 X6;
-15,287121 C1; 76,4356 C2; 25862,3 X6;
-15,331425 C1; 76,65712 C2; 25862,32 X6;
-15,375729 C1; 76,87865 C2; 25862,33 X6;
-15,420033 C1; 77,10017 C2; 25862,34 X6;
-15,464338 C1; 77,3217 C2; 25862,36 X6;
-15,508642 C1; 77,54322 C2; 25862,37 X6;
-15,552945 C1; 77,76473 C2; 25862,38 X6;
-15,59725 C1; 77,98625 C2; 25862,4 X6;
-15,641555 C1; 78,20777 C2; 25862,41 X6;
-15,685859 C1; 78,42929 C2; 25862,42 X6;
-15,730162 C1; 78,65081 C2; 25862,44 X6;
